France, Deformation / Velocity field horizontal 
  Long [deg],   Lat [deg],  Vel E [m/yr],  Vel N [m/yr] 
   7.0000000    43.5000000       0.00009       0.00013 
   7.0000000    43.7500000       0.00003       0.00009 
   7.0000000    44.0000000       0.00005      -0.00000 
   7.0000000    44.2500000       0.00027      -0.00016 
   7.0000000    44.5000000       0.00011      -0.00015 
   7.0000000    44.7500000       0.00014      -0.00042 
   7.0000000    45.0000000       0.00037      -0.00050 
   7.0000000    45.2500000       0.00020      -0.00039 
   7.0000000    45.5000000      -0.00022      -0.00044 
   7.0000000    45.7500000      -0.00050      -0.00042 
   7.0000000    46.0000000      -0.00032      -0.00020 
   7.0000000    46.2500000      -0.00038      -0.00008 
   7.0000000    46.5000000      -0.00034       0.00003 
   7.0000000    46.7500000      -0.00033       0.00001 
   7.0000000    47.0000000      -0.00029       0.00002 
   7.0000000    47.2500000      -0.00024       0.00001 
   7.0000000    47.5000000      -0.00019       0.00000 
   7.0000000    47.7500000      -0.00015       0.00000 
   7.0000000    48.0000000      -0.00008       0.00000 
   7.2500000    42.0000000      -0.00002       0.00002 
   7.2500000    42.2500000      -0.00002       0.00002 
   7.2500000    42.5000000      -0.00001      -0.00012 
   7.2500000    42.7500000      -0.00001      -0.00006 
   7.2500000    43.0000000       0.00004       0.00002 
   7.2500000    43.2500000       0.00001       0.00007 
   7.2500000    43.5000000       0.00002       0.00007 
   7.2500000    43.7500000       0.00004      -0.00003 
   7.2500000    44.0000000       0.00006       0.00000 
   7.2500000    44.2500000       0.00022       0.00004 
   7.2500000    44.5000000       0.00017      -0.00002 
   7.2500000    44.7500000       0.00021      -0.00020 
   7.2500000    45.0000000       0.00033      -0.00031 
   7.2500000    45.2500000       0.00017      -0.00044 
   7.2500000    45.5000000      -0.00019      -0.00019 
   7.2500000    45.7500000      -0.00041      -0.00029 
   7.2500000    46.0000000      -0.00029      -0.00025 
   7.2500000    46.2500000      -0.00015      -0.00010 
   7.2500000    46.5000000      -0.00023       0.00002 
   7.2500000    46.7500000      -0.00014       0.00011 
   7.2500000    47.0000000      -0.00010       0.00012 
   7.2500000    47.2500000      -0.00012       0.00008 
   7.2500000    47.5000000      -0.00014       0.00000 
   7.2500000    47.7500000      -0.00013       0.00000 
   7.2500000    48.0000000      -0.00012       0.00000 
   7.5000000    42.0000000      -0.00002       0.00002 
   7.5000000    42.2500000      -0.00002       0.00002 
   7.5000000    42.5000000      -0.00001      -0.00010 
   7.5000000    42.7500000      -0.00001      -0.00005 
   7.5000000    43.0000000       0.00001       0.00001 
   7.5000000    43.2500000      -0.00002       0.00002 
   7.5000000    43.5000000      -0.00008       0.00000 
   7.5000000    43.7500000      -0.00025      -0.00003 
   7.5000000    44.0000000      -0.00003       0.00003 
   7.5000000    44.2500000       0.00016       0.00019 
   7.5000000    44.5000000       0.00025       0.00015 
   7.5000000    44.7500000       0.00031      -0.00020 
   7.5000000    45.0000000       0.00028      -0.00028 
   7.5000000    45.2500000       0.00002      -0.00015 
   7.5000000    45.5000000      -0.00018      -0.00014 
   7.5000000    45.7500000      -0.00029      -0.00034 
   7.5000000    46.0000000      -0.00031      -0.00024 
   7.5000000    46.2500000      -0.00025      -0.00009 
   7.5000000    46.5000000      -0.00010       0.00004 
   7.5000000    46.7500000       0.00000       0.00012 
   7.5000000    47.0000000       0.00004       0.00015 
   7.5000000    47.2500000      -0.00003       0.00010 
   7.5000000    47.5000000      -0.00005       0.00007 
   7.5000000    47.7500000      -0.00011       0.00000 
   7.5000000    48.0000000      -0.00011       0.00000 
   7.7500000    42.0000000       0.00014      -0.00001 
   7.7500000    42.2500000       0.00011       0.00001 
