Deformation / Velocity field horizontal 
  Long [deg],   Lat [deg],  Vel E [m/yr],  Vel N [m/yr] 
   6.0000000    45.5000000      -0.00017       0.00002 
   6.0000000    46.0000000      -0.00013      -0.00000 
   6.0000000    46.5000000      -0.00011       0.00013 
   6.0000000    47.0000000       0.00009      -0.00002 
   6.0000000    47.5000000      -0.00001       0.00007 
   6.0000000    48.0000000      -0.00009       0.00002 
   6.0000000    48.5000000       0.00006      -0.00000 
   6.0000000    49.0000000      -0.00017       0.00034 
   6.0000000    49.5000000      -0.00022      -0.00000 
   6.0000000    50.0000000      -0.00031       0.00010 
   6.0000000    50.5000000      -0.00032       0.00005 
   6.0000000    51.0000000      -0.00022       0.00011 
   6.0000000    51.5000000      -0.00021       0.00013 
   6.0000000    52.0000000      -0.00020       0.00014 
   6.0000000    52.5000000      -0.00018       0.00016 
   6.0000000    53.0000000      -0.00019       0.00017 
   6.5000000    42.0000000      -0.00005      -0.00010 
   6.5000000    42.5000000      -0.00005       0.00002 
   6.5000000    43.0000000      -0.00010       0.00008 
   6.5000000    43.5000000      -0.00013       0.00009 
   6.5000000    44.0000000      -0.00005       0.00002 
   6.5000000    44.5000000      -0.00006       0.00014 
   6.5000000    45.0000000      -0.00003      -0.00002 
   6.5000000    45.5000000      -0.00040      -0.00003 
   6.5000000    46.0000000      -0.00026      -0.00004 
   6.5000000    46.5000000      -0.00016       0.00011 
   6.5000000    47.0000000      -0.00005       0.00011 
   6.5000000    47.5000000      -0.00001       0.00012 
   6.5000000    48.0000000      -0.00006      -0.00002 
   6.5000000    48.5000000       0.00015      -0.00014 
   6.5000000    49.0000000      -0.00010       0.00016 
   6.5000000    49.5000000      -0.00016       0.00002 
   6.5000000    50.0000000      -0.00026      -0.00003 
   6.5000000    50.5000000      -0.00032      -0.00004 
   6.5000000    51.0000000      -0.00023       0.00008 
   6.5000000    51.5000000      -0.00022       0.00011 
   6.5000000    52.0000000      -0.00020       0.00013 
   6.5000000    52.5000000      -0.00018       0.00015 
   6.5000000    53.0000000      -0.00027       0.00027 
   7.0000000    42.0000000      -0.00008      -0.00005 
