# Normal Strain Field, 
# Long [deg],   Lat [deg],   Eps1,          Eps2,         AziEps2 [deg] 
  -2.3750000    45.1250000  +5.841068e-10  -7.779149e-10      96.06 
  -2.3750000    45.3750000  +1.540240e-09  -5.989847e-10      13.38 
  -2.3750000    45.6250000  +1.745462e-09  -5.550765e-10      12.49 
  -2.3750000    45.8750000  +2.650666e-09  -2.084569e-09      24.07 
  -2.3750000    46.1250000  +1.606097e-09  -1.892517e-12       7.09 
  -2.3750000    46.3750000  +1.401601e-09  -2.041271e-10       3.03 
  -2.3750000    46.6250000  +2.069261e-09  -1.976453e-11      17.29 
  -2.3750000    46.8750000  +2.418454e-09  +5.285194e-10      29.07 
  -2.3750000    47.1250000  +3.267904e-09  +2.286324e-10      40.53 
  -2.3750000    47.3750000  +4.487778e-09  +1.537601e-10      51.62 
  -2.3750000    47.6250000  +4.876401e-09  -1.493249e-10      59.42 
  -2.3750000    47.8750000  +3.225849e-09  -5.925786e-10      66.68 
  -2.3750000    48.1250000  +9.409536e-10  -9.835001e-10      76.04 
  -2.3750000    48.3750000  -6.288208e-10  -1.197733e-09      95.63 
  -2.3750000    48.6250000  -1.052643e-09  -1.818060e-09     151.30 
  -2.3750000    48.8750000  -9.541762e-10  -2.513349e-09     158.41 
  -2.3750000    49.1250000  -7.613539e-10  -2.906449e-09     157.78 
  -2.3750000    49.3750000  -4.582517e-10  -2.900796e-09     152.57 
  -2.3750000    49.6250000  +1.192524e-10  -2.513762e-09     141.71 
  -2.3750000    49.8750000  +4.860595e-10  -1.926129e-09     135.18 
  -2.3750000    50.1250000  +5.159732e-10  -1.373462e-09     132.26 
  -2.3750000    50.3750000  +4.863205e-10  -1.037764e-09     131.43 
  -2.3750000    50.6250000  +4.605686e-10  -8.388518e-10     131.62 
  -2.3750000    50.8750000  +4.428587e-10  -7.117114e-10     132.12 
  -2.3750000    51.1250000  +4.296192e-10  -6.238585e-10     132.57 
  -2.3750000    51.3750000  +4.177920e-10  -5.590591e-10     132.84 
  -2.3750000    51.6250000  +4.056959e-10  -5.087397e-10     132.91 
  -2.3750000    51.8750000  +3.926646e-10  -4.681033e-10     132.79 
  -2.3750000    52.1250000  +3.786118e-10  -4.343089e-10     132.52 
  -2.3750000    52.3750000  +6.268777e-09  -2.646645e-09      68.54 
  -2.3750000    52.6250000  +5.767698e-10  -2.234617e-10     114.05 
  -2.3750000    52.8750000  +5.523426e-09  -8.116860e-09     159.79 
  -2.1250000    42.1250000  +1.714193e-09  -1.342504e-09     129.02 
