Long [deg],  Lat[deg],    Ve[m/yr],  Vn[m/yr],  SVe[m/yr], SVn[m/yr], angle[deg],    Name
-1.5000000  50.5000000    0.00013  -0.00003     0.000074    0.000082    0.0 
-1.5000000  51.0000000    0.00014  -0.00001     0.000086    0.000096    0.0 
-1.5000000  51.5000000    0.00014   0.00010     0.000111    0.000074    0.0 
-1.5000000  52.0000000    0.00018   0.00002     0.000046    0.000043    0.0 
-1.5000000  52.5000000    0.00018   0.00003     0.000047    0.000043    0.0 
-1.5000000  53.0000000    0.00018   0.00003     0.000048    0.000043    0.0 
-1.0000000  41.0000000   -0.00021   0.00007     0.000189    0.000202    0.0 
-1.0000000  41.5000000   -0.00023   0.00011     0.000179    0.000193    0.0 
-1.0000000  42.0000000   -0.00026   0.00015     0.000169    0.000185    0.0 
-1.0000000  42.5000000   -0.00028   0.00019     0.000160    0.000180    0.0 
-1.0000000  43.0000000   -0.00029   0.00021     0.000154    0.000175    0.0 
-1.0000000  43.5000000   -0.00021   0.00030     0.000137    0.000098    0.0 
-1.0000000  44.0000000   -0.00016   0.00028     0.000122    0.000089    0.0 
-1.0000000  44.5000000   -0.00014   0.00025     0.000065    0.000050    0.0 
-1.0000000  45.0000000   -0.00006   0.00021     0.000077    0.000055    0.0 
-1.0000000  45.5000000   -0.00005   0.00015     0.000063    0.000023    0.0 
-1.0000000  46.0000000    0.00002   0.00019     0.000051    0.000038    0.0 
-1.0000000  46.5000000    0.00001   0.00017     0.000066    0.000055    0.0 
-1.0000000  47.0000000    0.00000   0.00012     0.000082    0.000065    0.0 
-1.0000000  47.5000000    0.00002   0.00010     0.000089    0.000070    0.0 
-1.0000000  48.0000000    0.00006   0.00008     0.000091    0.000071    0.0 
-1.0000000  48.5000000    0.00011   0.00004     0.000077    0.000070    0.0 
-1.0000000  49.0000000    0.00012  -0.00002     0.000072    0.000066    0.0 
-1.0000000  49.5000000    0.00013  -0.00009     0.000056    0.000038    0.0 
-1.0000000  50.0000000    0.00013  -0.00010     0.000066    0.000072    0.0 
-1.0000000  50.5000000    0.00014  -0.00007     0.000076    0.000084    0.0 
-1.0000000  51.0000000    0.00015   0.00002     0.000100    0.000061    0.0 
-1.0000000  51.5000000    0.00013   0.00012     0.000088    0.000039    0.0 
-1.0000000  52.0000000    0.00018  -0.00001     0.000046    0.000043    0.0 
-1.0000000  52.5000000    0.00018   0.00000     0.000047    0.000043    0.0 
-1.0000000  53.0000000    0.00018   0.00001     0.000048    0.000043    0.0 
-0.5000000  41.0000000   -0.00019   0.00005     0.000183    0.000197    0.0 
-0.5000000  41.5000000   -0.00022   0.00009     0.000171    0.000186    0.0 
-0.5000000  42.0000000   -0.00026   0.00015     0.000159    0.000175    0.0 
-0.5000000  42.5000000   -0.00029   0.00020     0.000147    0.000167    0.0 
-0.5000000  43.0000000   -0.00031   0.00024     0.000139    0.000159    0.0 
-0.5000000  43.5000000   -0.00028   0.00022     0.000138    0.000159    0.0 
-0.5000000  44.0000000   -0.00020   0.00026     0.000064    0.000050    0.0 
-0.5000000  44.5000000   -0.00011   0.00020     0.000063    0.000049    0.0 
-0.5000000  45.0000000   -0.00004   0.00014     0.000098    0.000066    0.0 
-0.5000000  45.5000000    0.00002   0.00014     0.000057    0.000062    0.0 
-0.5000000  46.0000000    0.00006   0.00016     0.000049    0.000039    0.0 
-0.5000000  46.5000000    0.00007   0.00017     0.000065    0.000036    0.0 
-0.5000000  47.0000000    0.00005   0.00011     0.000082    0.000065    0.0 
-0.5000000  47.5000000    0.00006   0.00007     0.000089    0.000070    0.0 
-0.5000000  48.0000000    0.00009   0.00003     0.000092    0.000071    0.0 
-0.5000000  48.5000000    0.00014  -0.00001     0.000078    0.000071    0.0 
-0.5000000  49.0000000    0.00017  -0.00009     0.000061    0.000035    0.0 
-0.5000000  49.5000000    0.00017  -0.00013     0.000060    0.000035    0.0 
-0.5000000  50.0000000    0.00016  -0.00013     0.000071    0.000078    0.0 
-0.5000000  50.5000000    0.00016  -0.00011     0.000078    0.000087    0.0 
-0.5000000  51.0000000    0.00014   0.00004     0.000081    0.000040    0.0 
-0.5000000  51.5000000    0.00018  -0.00006     0.000046    0.000043    0.0 
-0.5000000  52.0000000    0.00018  -0.00004     0.000046    0.000043    0.0 
-0.5000000  52.5000000    0.00018  -0.00002     0.000047    0.000043    0.0 
-0.5000000  53.0000000    0.00018  -0.00001     0.000048    0.000043    0.0 
 0.0000000  41.0000000   -0.00018   0.00002     0.000177    0.000191    0.0 
 0.0000000  41.5000000   -0.00020   0.00007     0.000163    0.000179    0.0 
 0.0000000  42.0000000   -0.00024   0.00013     0.000148    0.000165    0.0 
 0.0000000  42.5000000   -0.00030   0.00022     0.000133    0.000149    0.0 
 0.0000000  43.0000000   -0.00034   0.00027     0.000120    0.000139    0.0 
 0.0000000  43.5000000   -0.00029   0.00024     0.000120    0.000139    0.0 
 0.0000000  44.0000000   -0.00016   0.00023     0.000052    0.000050    0.0 
 0.0000000  44.5000000   -0.00007   0.00014     0.000061    0.000048    0.0 
 0.0000000  45.0000000   -0.00001   0.00007     0.000106    0.000066    0.0 
 0.0000000  45.5000000    0.00005   0.00008     0.000057    0.000062    0.0 
 0.0000000  46.0000000    0.00008   0.00009     0.000042    0.000051    0.0 
