Site       Longitude         Latitude         Height            Ve_res  SVe      Vn_res  SVn      Vu     Svu      Start    End    Tobs  
	      deg               deg             m                  mm/yr            mm/yr             mm/yr      yyyy.y   yyyy.y  years		
TRF2      15.8589121        47.9279647       1092.46312         0.08 ± 0.16      0.15 ± 0.16     -0.90 ± 0.65    2008.2 - 2016.4  10.0 
TRIE      13.7635214        45.7097578        323.41269        -0.49 ± 0.04      2.47 ± 0.05     -0.01 ± 0.15    2005.0 - 2016.4  11.4 
TROC       5.0751405        46.7255888        257.50799         0.27 ± 0.10     -0.21 ± 0.11     -0.43 ± 0.38    2008.7 - 2015.0   6.3 
TROP       6.6010118        43.2194846        369.32101        -0.21 ± 0.06      0.19 ± 0.07     -0.32 ± 0.22    2005.7 - 2015.8  10.1 
UDI1      13.2530207        46.0374798        149.29665        -0.61 ± 0.05      1.98 ± 0.06      0.07 ± 0.19    2006.4 - 2016.4  10.0 
UNPG      12.3557044        43.1193923        351.09761         0.28 ± 0.37      0.96 ± 0.40      0.59 ± 1.48    2014.0 - 2016.4   2.4 
VALD       6.7236848        43.7974659       1148.16593        -0.01 ± 0.15     -0.29 ± 0.18      0.53 ± 0.64    2009.4 - 2015.0   5.6 
VARM      12.5653448        46.4570897       2121.44282        -0.06 ± 0.17      0.48 ± 0.20      1.78 ± 0.64    2012.6 - 2016.4   3.8 
VAUC       5.8265567        47.6595708        283.90966        -0.17 ± 0.13      0.19 ± 0.16     -1.35 ± 0.52    2008.6 - 2015.0   6.4 
VEN1      12.3540792        45.4305709         60.42606        -0.01 ± 0.06      1.11 ± 0.07     -1.36 ± 0.22    2010.0 - 2016.4   6.5 
VERN      10.8315721        46.8665916       3127.33742        -0.06 ± 0.10      0.61 ± 0.11      2.29 ± 0.38    2010.6 - 2016.3   5.8 
VFCH       1.7196751        47.2941957        153.25110         0.16 ± 0.10     -0.06 ± 0.12      0.12 ± 0.37    2005.4 - 2016.4  10.9 
