Velocity field of ALP_NET, file FMC_IGB_W1.SNX 
	     Apprixmate coordinates 
Site     Long        Lat       Height         Ve_res  SVe      Vn_res  SVn      Vu     Svu     Start     End    Tobs(used)  
         deg         deg          m              mm/yr            mm/yr            mm/yr       yyyy.y   yyyy.y  years
IENG      7.64       45.02      316.6         0.30 ± 0.05     -0.33 ± 0.05      0.36 ± 0.17    2004.0 - 2016.4  12.4 
IGMI     11.21       43.80       95.1         0.21 ± 0.12      2.25 ± 0.13      0.12 ± 0.48    2006.9 - 2016.4   9.4 
JANU      6.71       44.91     2583.9         0.27 ± 0.07     -0.33 ± 0.08      1.85 ± 0.25    2005.8 - 2016.1  10.3 
JOAN     13.42       46.18     1190.5        -0.47 ± 0.05      1.71 ± 0.05      0.42 ± 0.17    2007.5 - 2016.4   8.9 
JOUX      5.80       46.53      845.5        -0.08 ± 0.06      0.16 ± 0.08      0.46 ± 0.25    2004.0 - 2014.9  10.8 
JUVI      6.28       46.22      556.5        -0.24 ± 0.48      0.04 ± 0.54      0.87 ± 1.86    2012.1 - 2014.0   1.8 
KARL      8.41       49.01      182.9         0.09 ± 0.06      0.14 ± 0.07      0.04 ± 0.20    2004.0 - 2016.4  12.4 
KOE2     13.01       46.67      756.0         0.41 ± 0.14      0.93 ± 0.18      1.34 ± 0.59    2008.2 - 2016.4   8.2 
KOET     13.01       46.67      756.1         0.40 ± 0.14      0.93 ± 0.18      1.33 ± 0.59    2005.5 - 2008.2   2.7 
KRBG     10.63       47.15     2258.0        -0.28 ± 0.08      0.38 ± 0.09      0.13 ± 0.29    2004.0 - 2016.4  12.3 
KTZ2     12.36       47.42     1847.8        -0.09 ± 0.12      0.51 ± 0.14      0.22 ± 0.45    2008.0 - 2016.4   8.4 
LACA      2.73       43.68     1315.6        -0.07 ± 0.09      0.04 ± 0.10      0.26 ± 0.35    2005.4 - 2014.6   9.1 
LAJA      6.35       44.18      851.7        -0.05 ± 0.29      0.19 ± 0.33      0.28 ± 1.23    2011.9 - 2014.8   3.0 
LEBE      5.62       45.92      940.6         0.01 ± 0.06      0.07 ± 0.07      0.74 ± 0.23    2005.4 - 2016.4  11.0 
LFAZ      5.40       45.12     1071.2        -0.05 ± 0.06     -0.00 ± 0.08      0.81 ± 0.25    2005.0 - 2016.4  11.4 
LINZ     14.28       48.31      335.0        -0.04 ± 0.07     -0.08 ± 0.09      0.37 ± 0.26    2005.5 - 2016.4  10.9 
LROC     -1.22       46.16       57.9         0.02 ± 0.04      0.20 ± 0.03     -0.20 ± 0.09    2004.0 - 2016.4  12.4 
LUCE      7.27       47.44      741.6         0.04 ± 0.08      0.26 ± 0.09      0.47 ± 0.30    2007.8 - 2016.4   8.6 
LUVI      4.10       43.69       71.0         0.17 ± 0.07     -0.01 ± 0.08     -0.32 ± 0.28    2007.5 - 2014.8   7.3 
MAKS      7.03       47.92     1237.2         0.09 ± 0.06     -0.03 ± 0.07      0.30 ± 0.22    2007.4 - 2016.4   9.1 
MANS      0.16       48.02      168.0        -0.22 ± 0.23      0.47 ± 0.30      1.70 ± 0.97    2004.0 - 2008.1   4.0 
MARS      5.35       43.28       61.8        -0.02 ± 0.11     -0.07 ± 0.13     -0.50 ± 0.45    2004.6 - 2016.4  11.8 
MAVE     11.83       46.03     1466.0        -0.31 ± 0.07      1.55 ± 0.09      1.04 ± 0.29    2006.4 - 2015.0   8.6 
MDEA     13.44       45.92      165.7        -0.43 ± 0.05      2.57 ± 0.05     -0.15 ± 0.18    2005.1 - 2016.4  11.3 
MDOR      4.81       45.80      330.6         0.14 ± 0.15     -0.12 ± 0.17     -0.17 ± 0.59    2009.9 - 2013.9   4.1 
MEDI     11.65       44.52       50.0         1.31 ± 0.04      2.43 ± 0.05     -1.15 ± 0.15    2004.0 - 2016.4  12.4 
MICH      5.72       43.92      628.1        -0.18 ± 0.05      0.03 ± 0.06      0.08 ± 0.20    2004.0 - 2016.4  12.4 
MITT     11.29       46.69     2356.3        -0.12 ± 0.19      0.69 ± 0.23      1.62 ± 0.74    2007.2 - 2016.2   6.5 
MLVL      2.59       48.84      160.5         0.46 ± 0.09     -0.40 ± 0.10     -0.03 ± 0.32    2005.4 - 2016.4  10.7 
MOCA     11.14       46.10     1147.1        -0.07 ± 0.16      1.01 ± 0.20      1.61 ± 0.65    2006.7 - 2010.6   3.9 
MODA      6.71       45.21     1182.3        -0.08 ± 0.05     -0.38 ± 0.07      1.71 ± 0.22    2004.0 - 2016.4  12.4 
MOGN      4.80       46.15      233.0         0.17 ± 0.08      0.02 ± 0.10     -2.03 ± 0.33    2004.8 - 2015.0  10.2 
MOLA      2.34       43.72      596.2         0.06 ± 0.10      0.05 ± 0.11     -0.18 ± 0.39    2007.5 - 2015.0   7.5 
MOLV      5.84       48.61      330.4         0.05 ± 0.29      0.01 ± 0.33     -0.03 ± 1.15    2011.5 - 2015.0   3.5 
MONT      4.07       45.72      435.6        -0.45 ± 0.07     -0.55 ± 0.08      0.03 ± 0.27    2007.5 - 2015.0   7.5 
MOPS     10.95       44.63       92.2         0.91 ± 0.11      3.30 ± 0.13     -0.62 ± 0.43    2007.8 - 2016.3   7.9 
